station,pat,long
农业展览馆,39.94170907,116.462127
亮马桥,39.94908308,116.461907
三元桥,39.96136585,116.4568377
太阳宫,39.97279544,116.4475036
芍药居,39.9778107,116.4361525
安贞门,39.97698033,116.4059722
北土城,39.97668847,116.3944441
健德门,39.97670902,116.3813496
牡丹园,39.9763185,116.3699019
西土城,39.97618695,116.353873
知春路,39.9764706,116.339947
知春里,39.97631438,116.3286227
海淀黄庄,39.97600607,116.3175827
苏州街,39.97563404,116.3062665
巴沟,39.97417262,116.2940598
火器营,39.96601604,116.2890118
长春桥,39.95831079,116.294387
车道沟,39.9481331,116.2938774
西钓鱼台,39.92329731,116.2976646
莲花桥,39.89767878,116.3103998
六里桥,39.88033373,116.3027608
新宫,39.81225298,116.3655996
西红门,39.78959386,116.3287568
高米店北,39.77338418,116.3308489
高米店南,39.76342231,116.3317823
枣园,39.75359098,116.3319755
清源路,39.74266931,116.3325119
黄村西大街,39.73138285,116.3326192
黄村火车站,39.72294981,116.3325763
义和庄,39.71250197,116.319015
生物医药基地,39.68661487,116.3222551
天宫院,39.67021578,116.319927
